Label,MNI_X,MNI_Y,MNI_Z
1,-4.89,15.45,53.77
2,6.84,16.32,54.22
3,-18.23,23.51,52.75
4,21.63,25.61,51.46
5,-11.0,48.6,39.77
6,12.84,48.29,40.09
7,-18.11,-0.68,65.05
8,20.16,4.16,63.86
9,-6.08,-5.0,57.65
10,7.35,-3.81,59.77
11,-4.74,35.76,38.36
12,5.97,37.9,35.1
13,-7.71,55.99,15.23
14,7.72,58.39,13.09
15,-27.23,42.68,30.89
16,30.21,37.06,35.75
17,-41.59,13.37,36.25
18,41.82,11.46,38.53
19,-27.89,55.93,12.23
20,27.68,55.02,16.94
21,-40.78,40.71,16.12
22,41.76,44.14,13.56
23,-32.88,23.19,45.18
24,42.0,26.63,39.17
25,-32.2,3.67,54.66
26,33.54,7.81,54.43
27,-25.57,60.4,-5.54
28,25.48,61.39,-3.81
29,-45.97,13.36,23.71
30,45.44,16.35,25.12
31,-47.43,31.83,13.61
32,47.92,34.93,13.18
33,-52.63,23.03,11.08
34,54.18,23.76,11.59
35,-48.75,36.21,-2.83
36,51.08,36.34,-0.54
37,-39.41,22.6,3.79
38,41.95,21.86,3.46
39,-51.61,13.41,6.27
40,53.59,13.86,10.99
41,-6.58,53.52,-6.83
42,6.37,47.47,-6.96
43,-36.25,33.32,-15.91
44,40.27,38.63,-14.32
45,-22.59,37.51,-17.62
46,23.48,36.15,-18.16
47,-6.33,52.04,-19.36
48,6.38,56.71,-16.43
49,-10.23,17.69,-18.77
50,9.13,20.23,-19.34
51,-40.71,32.12,-9.19
52,42.42,31.3,-8.93
53,-48.97,-7.64,39.0
54,54.69,-2.31,32.92
55,-31.58,-9.12,57.8
56,32.96,-6.77,56.52
57,-26.27,-24.97,62.59
58,34.23,-18.83,58.5
59,-13.12,-20.48,73.33
60,15.13,-21.55,70.99
61,-52.1,0.09,7.67
62,53.67,3.85,8.8
63,-49.23,4.72,30.31
64,51.22,7.17,30.48
65,-7.63,-37.97,58.16
66,9.95,-34.32,53.93
67,-4.07,-22.79,60.65
68,4.63,-20.99,61.28
69,-31.84,13.85,-34.47
70,31.31,15.1,-33.63
71,-53.83,-31.74,12.24
72,53.99,-23.6,10.51
73,-49.9,-10.52,1.23
74,50.81,-3.59,-1.15
75,-62.45,-33.19,7.34
76,66.46,-20.3,6.35
77,-44.84,10.91,-19.57
78,47.0,12.22,-19.59
79,-54.9,-3.33,-10.37
80,55.85,-12.26,-5.34
81,-64.96,-30.44,-11.58
82,64.83,-28.8,-13.13
83,-53.07,2.11,-29.57
84,51.4,5.58,-31.83
85,-59.08,-57.52,4.25
86,60.12,-53.28,2.71
87,-58.41,-19.63,-9.45
88,58.27,-15.81,-9.94
89,-45.29,-26.44,-26.79
90,45.82,-14.46,-32.59
91,-50.65,-57.03,-14.58
92,53.29,-52.42,-18.16
93,-43.47,-2.38,-41.37
94,40.4,0.33,-43.19
95,-55.82,-15.6,-27.53
96,54.61,-11.04,-32.22
97,-55.17,-60.05,-5.85
98,54.18,-57.01,-8.34
99,-59.19,-41.77,-16.0
100,60.66,-39.92,-17.18
101,-54.75,-30.66,-27.01
102,53.78,-31.25,-25.7
103,-32.71,-16.48,-32.13
104,33.47,-14.83,-33.58
105,-30.83,-64.47,-14.32
106,31.12,-61.78,-13.69
107,-42.04,-50.64,-17.27
108,42.57,-49.23,-18.64
109,-27.05,-7.06,-34.11
110,27.55,-8.38,-33.48
111,-25.07,-25.12,-25.98
112,26.42,-23.3,-26.78
113,-28.36,-31.79,-17.66
114,29.52,-30.01,-17.87
115,-18.6,-11.84,-29.89
116,18.72,-10.14,-29.62
117,-23.24,1.92,-31.76
118,21.64,1.04,-35.85
119,-16.6,-39.38,-9.99
120,18.8,-36.29,-11.32
121,-54.26,-39.97,4.3
122,52.66,-36.7,3.32
123,-52.38,-50.3,10.72
124,56.74,-40.08,12.35
125,-16.32,-59.88,62.67
126,19.36,-56.89,64.89
127,-15.5,-70.85,51.67
128,18.59,-68.89,53.64
129,-33.34,-46.76,49.67
130,35.18,-42.04,54.1
131,-22.47,-47.39,65.06
132,23.04,-43.34,66.99
133,-27.4,-58.69,53.77
134,31.01,-54.13,53.29
135,-34.1,-80.42,28.71
136,45.38,-71.27,20.31
137,-37.63,-61.31,46.41
138,39.44,-65.01,43.68
139,-51.21,-33.43,41.58
140,47.45,-34.82,45.09
141,-55.66,-49.4,37.61
142,57.46,-43.59,38.14
143,-46.66,-64.92,25.91
144,52.99,-54.33,24.73
145,-53.49,-31.2,22.63
146,55.01,-26.24,25.55
147,-4.86,-63.43,50.82
148,6.27,-64.76,50.94
149,-8.15,-47.22,57.2
150,7.42,-46.99,58.45
151,-11.89,-66.58,25.35
152,16.29,-63.63,24.63
153,-6.18,-54.68,33.63
154,6.32,-54.14,34.53
155,-49.95,-16.35,42.98
156,50.0,-14.38,44.03
157,-55.94,-14.1,16.3
158,55.85,-10.1,14.99
159,-45.76,-29.95,50.13
160,47.89,-24.21,48.11
161,-21.31,-34.68,68.3
162,20.03,-32.61,69.4
163,-36.28,-20.21,9.65
164,37.39,-17.77,8.09
165,-32.17,13.98,-13.05
166,33.12,14.3,-12.97
167,-34.29,17.6,1.2
168,36.45,18.43,0.68
169,-38.48,-3.97,-9.31
170,39.17,-2.1,-9.08
171,-38.48,-7.93,8.14
172,39.12,-6.88,7.62
173,-37.81,4.93,4.53
174,38.18,5.45,4.71
175,-3.74,-39.29,31.1
176,4.49,-36.98,31.61
177,-3.2,8.46,24.94
178,4.52,21.8,12.05
179,-5.72,34.0,20.53
180,5.04,27.66,27.36
181,-8.35,-47.22,9.56
182,8.57,-44.03,11.02
183,-4.64,6.72,37.35
184,4.14,6.19,38.12
185,-7.41,-22.54,40.77
186,6.26,-19.88,40.44
187,-4.37,38.92,-1.88
188,5.37,40.8,6.39
189,-10.69,-82.26,-10.77
190,10.45,-85.49,-8.55
191,-4.91,-80.56,10.27
192,7.09,-75.59,11.11
193,-5.61,-94.15,1.07
194,8.42,-89.61,12.42
195,-16.52,-60.46,-6.37
196,18.24,-59.7,-6.89
197,-12.88,-68.24,12.17
198,14.64,-63.44,12.17
199,-30.62,-89.15,10.92
200,34.38,-85.9,10.76
201,-45.69,-73.72,2.95
202,47.81,-70.06,-0.7
203,-17.71,-99.43,2.31
204,21.82,-97.29,4.28
205,-30.19,-87.72,-12.26
206,32.11,-84.6,-11.55
207,-10.68,-87.95,30.52
208,16.31,-85.13,34.3
209,-22.17,-77.27,35.84
210,28.66,-74.52,36.08
211,-18.78,-2.22,-19.93
212,19.29,-2.5,-19.46
213,-27.18,-3.89,-20.0
214,27.81,-3.26,-19.87
215,-22.09,-13.7,-18.87
216,21.9,-12.42,-20.09
217,-27.73,-30.05,-10.01
218,29.22,-27.14,-10.36
219,-12.02,14.43,-0.21
220,14.55,14.41,-2.39
221,-21.64,-1.83,3.66
222,21.86,-1.85,3.39
223,-16.9,3.43,-9.29
224,14.52,7.71,-8.83
225,-22.73,6.51,-3.64
226,21.94,8.07,-1.45
227,-14.47,2.0,16.47
228,13.93,5.46,14.4
229,-28.3,-5.27,1.54
230,29.13,-3.38,1.47
231,-6.54,-12.03,5.23
232,7.23,-10.88,5.84
233,-18.4,-13.21,3.43
234,13.16,-12.95,1.76
235,-17.89,-22.69,3.91
236,18.04,-21.52,3.45
237,-6.79,-13.5,7.04
238,2.59,-12.75,5.36
239,-16.38,-24.22,6.16
240,15.37,-25.37,6.05
241,-14.85,-28.21,3.86
242,13.03,-27.31,7.63
243,-11.56,-22.17,12.64
244,9.5,-13.86,13.89
245,-11.84,-13.97,3.0
246,12.64,-16.13,6.78
247,0.5,-23.26,-9.07
248,-3.54,-32.35,-7.73
249,4.93,-32.27,-7.93
250,0.74,-31.69,-14.44
251,-4.49,-35.64,-9.44
252,5.5,-35.81,-9.41
257,-3.49,-43.2,-56.62
258,4.5,-42.95,-57.7
259,-4.51,-37.14,-52.15
260,6.16,-36.27,-52.12
261,-5.58,-28.6,-8.03
262,6.99,-28.34,-7.82
265,-1.47,-38.33,-31.52
266,2.99,-38.38,-31.27
267,-6.75,-37.31,-20.49
268,8.25,-38.14,-20.87
269,-7.88,-30.86,-9.4
270,8.66,-30.94,-9.69
272,-4.1,-36.52,-23.25
273,5.2,-37.03,-23.57
280,-7.55,-23.53,-4.05
281,8.89,-22.99,-3.82
282,0.57,-32.57,-8.94
285,0.73,-31.42,-20.55
286,-1.79,-35.22,-31.05
287,3.39,-35.36,-31.38
288,-6.88,-28.71,-13.4
295,-4.66,-18.83,-8.03
296,5.85,-18.78,-7.83
297,0.71,-41.27,-52.78
298,0.91,-36.91,-52.23
299,-4.22,-31.79,-4.17
300,5.48,-31.25,-3.78
305,-3.82,-40.42,-47.04
306,5.48,-40.11,-47.28
311,-8.75,-15.57,-11.39
312,10.15,-15.58,-11.09
315,-5.53,-37.47,-35.89
316,7.24,-37.33,-35.13
317,-5.71,-41.37,-37.81
318,6.77,-41.17,-38.11
319,-1.91,-43.89,-52.63
320,3.08,-43.45,-52.79
321,-4.86,-16.06,-9.62
322,6.73,-16.32,-9.6
323,-9.27,-54.29,-34.19
324,-16.81,-55.08,-25.13
325,-12.46,-54.47,-23.08
326,-15.99,-44.35,-40.77
327,-12.06,-72.89,-46.08
328,-20.83,-53.47,-34.98
329,-20.5,-53.38,-52.37
330,-22.67,-69.41,-34.01
331,-35.37,-57.89,-42.06
332,-27.23,-60.97,-35.91
333,-34.59,-63.35,-41.09
334,-17.04,-77.14,-32.02
335,-20.82,-70.78,-38.88
336,-30.13,-77.93,-37.35
337,-36.78,-61.52,-46.14
338,-15.97,-46.03,-51.64
339,5.67,-67.53,-31.97
340,18.53,-55.43,-23.83
341,15.67,-53.67,-29.97
342,18.33,-44.93,-42.93
343,17.8,-67.82,-42.05
344,18.86,-51.39,-34.24
345,23.0,-57.43,-56.73
346,25.49,-64.26,-32.88
347,33.65,-58.2,-41.91
348,28.46,-59.34,-35.99
349,35.0,-65.73,-39.02
350,18.41,-74.74,-33.36
351,17.03,-73.43,-36.57
352,30.78,-76.93,-35.95
353,34.18,-59.45,-44.49
354,22.72,-44.63,-50.78
